rep	seed	auc_before	auc_after	aucdiff	p_delong	sens_before_spec0.95	sens_after_spec0.95	thr_before_spec0.95	thr_after_spec0.95	sens_before_spec0.99	sens_after_spec0.99	thr_before_spec0.99	thr_after_spec0.99
72	72	0.921621621621622	0.909459459459459	-0.0121621621621623	0.546119026149383	0.797297297297297	0.824324324324324	0.720385886831152	0.709256338193617	0.783783783783784	0.783783783783784		
73	73	0.927027027027027	0.925675675675676	-0.00135135135135123	0.933958556347643	0.783783783783784	0.837837837837838	0.726262626815706	0.7310703217198	0.783783783783784	0.824324324324324		
74	74	0.942567567567568	0.903378378378378	-0.0391891891891892	0.0998486480133232	0.837837837837838	0.864864864864865	0.680990232166381	0.711461655572511	0.824324324324324	0.851351351351351		
75	75	0.932432432432433	0.925675675675676	-0.00675675675675691	0.746520613010639	0.77027027027027	0.864864864864865	0.789519149460379	0.690771936701176	0.77027027027027	0.810810810810811		
76	76	0.931081081081081	0.906756756756757	-0.0243243243243245	0.269293161487332	0.797297297297297	0.810810810810811	0.751566238516198	0.731646217153065	0.783783783783784	0.797297297297297		
77	77	0.923986486486486	0.925675675675676	0.00168918918918926	0.947586154588768	0.864864864864865	0.851351351351351	0.675364887180161	0.675288750417217	0.864864864864865	0.797297297297297		
78	78	0.942567567567568	0.909459459459459	-0.0331081081081085	0.112501277991904	0.864864864864865	0.837837837837838	0.645812348152699	0.710687452734258	0.864864864864865	0.837837837837838		
79	79	0.922972972972973	0.90945945945946	-0.0135135135135134	0.387859261823114	0.824324324324324	0.864864864864865	0.678048951836978	0.673708203883434	0.810810810810811	0.797297297297297		
80	80	0.947972972972973	0.933108108108108	-0.0148648648648649	0.370459944982159	0.878378378378378	0.851351351351351	0.673990191233272	0.703297311214577	0.851351351351351	0.851351351351351		
81	81	0.944594594594595	0.933783783783784	-0.0108108108108109	0.589387123394013	0.878378378378378	0.837837837837838	0.652389486926063	0.721188798143237	0.851351351351351	0.783783783783784		
82	82	0.938513513513513	0.909459459459459	-0.029054054054054	0.213198667971704	0.810810810810811	0.837837837837838	0.67919653916857	0.723370061716425	0.797297297297297	0.824324324324324		
83	83	0.937162162162162	0.928378378378378	-0.00878378378378408	0.647215015213392	0.837837837837838	0.851351351351351	0.655723714390911	0.718305259767826	0.824324324324324	0.837837837837838		
84	84	0.925	0.916891891891892	-0.00810810810810814	0.74824005206993	0.851351351351351	0.851351351351351	0.697585859237288	0.693201966846884	0.810810810810811	0.797297297297297		
85	85	0.92972972972973	0.916891891891892	-0.0128378378378379	0.550748869110507	0.851351351351351	0.864864864864865	0.660758418375059	0.679214159429448	0.824324324324324	0.851351351351351		
86	86	0.944594594594595	0.935810810810811	-0.00878378378378386	0.607147965984963	0.864864864864865	0.878378378378378	0.663423636755807	0.710972706811099	0.851351351351351	0.851351351351351		
87	87	0.940540540540541	0.924324324324324	-0.0162162162162162	0.371466688401012	0.837837837837838	0.864864864864865	0.698335401311878	0.666432399974157	0.824324324324324	0.824324324324324		
88	88	0.95	0.909459459459459	-0.0405405405405405	0.060383164572884	0.878378378378378	0.824324324324324	0.625052695339315	0.728115618992145	0.837837837837838	0.824324324324324		
89	89	0.935810810810811	0.922972972972973	-0.0128378378378377	0.571751692346775	0.837837837837838	0.851351351351351	0.663507266304361	0.704468906420804	0.810810810810811	0.810810810810811		
90	90	0.938513513513514	0.906081081081081	-0.0324324324324324	0.119117994282178	0.878378378378378	0.864864864864865	0.675909183669091	0.703912700658516	0.851351351351351	0.864864864864865		
91	91	0.941216216216216	0.919594594594595	-0.0216216216216216	0.303312177841044	0.824324324324324	0.837837837837838	0.675368499161408	0.686040539116327	0.810810810810811	0.824324324324324		
92	92	0.946621621621622	0.909459459459459	-0.0371621621621623	0.0580593005579358	0.837837837837838	0.864864864864865	0.681923273543318	0.683066893606668	0.837837837837838	0.77027027027027		
93	93	0.920945945945946	0.906756756756757	-0.0141891891891893	0.562035149376556	0.837837837837838	0.824324324324324	0.699478736074846	0.7126855079976	0.837837837837838	0.824324324324324		
94	94	0.927702702702703	0.919594594594595	-0.00810810810810803	0.715188243679219	0.864864864864865	0.810810810810811	0.681577366396398	0.717224526415297	0.864864864864865	0.783783783783784		
95	95	0.92972972972973	0.908108108108108	-0.0216216216216216	0.369830836205752	0.797297297297297	0.864864864864865	0.711446029120693	0.68337611188035	0.797297297297297	0.797297297297297		
96	96	0.92027027027027	0.914189189189189	-0.00608108108108085	0.775598356480412	0.837837837837838	0.824324324324324	0.695699415819747	0.715719111653839	0.810810810810811	0.824324324324324		
97	97	0.916216216216216	0.908783783783784	-0.00743243243243241	0.724581989679358	0.797297297297297	0.824324324324324	0.706609945514799	0.72667842745229	0.77027027027027	0.810810810810811		
98	98	0.933783783783784	0.935810810810811	0.00202702702702717	0.921714143931838	0.810810810810811	0.864864864864865	0.699331692547674	0.676989299992217	0.783783783783784	0.783783783783784		
99	99	0.933108108108108	0.921621621621622	-0.0114864864864863	0.525565289460951	0.824324324324324	0.851351351351351	0.685471238541699	0.714285471305384	0.783783783783784	0.837837837837838		
100	100	0.925675675675676	0.920945945945946	-0.00472972972972996	0.840540404373557	0.851351351351351	0.851351351351351	0.693186334079499	0.711001028893264	0.810810810810811	0.851351351351351		
